Angle,Psi4_HF_STO-3G,PySCF_HF_STO-3G,Psi4_DFT(B3LYP)_6-31G*,PySCF_DFT(B3LYP)_6-31G*,Psi4_MP2_cc-pVDZ,PySCF_MP2_cc-pVDZ,GAMESS_HF_STO-3G,NWChem_DFT(B3LYP)_6-31G*,NWChem_MP2_cc-pVDZ,NWChem_HF_STO-3G,GAMESS_DFT(B3LYP)_6-31G*,GAMESS_MP2_cc-pVDZ,CP2K_HF_STO-3G,CP2K_DFT(B3LYP)_6-31G*,CP2K_MP2_cc-pVDZ,ORCA_DFT(B3LYP)_6-31G*,ORCA_HF_STO-3G,ORCA_MP2_cc-pVDZ
0,-155.440879,-155.440387,-158.430965,-158.428155,-157.881683,-157.881941,-155.4452166,-158.4403798,-157.8085355,-155.4452166,-158.3167301,-157.2775328,-155.4420576,-158.3030033,-157.8818035,-158.3045728,-155.4403869,-157.8707905
10,-155.442378,-155.441883,-158.432433,-158.429589,-157.883125,-157.883384,-155.4463671,-158.4415547,-157.8098831,-155.446367,-158.3178439,-157.2788433,-155.4435531,-158.3044664,-157.8832448,-158.3060126,-155.4418831,-157.8722363
20,-155.445859,-155.445359,-158.435874,-158.433032,-157.886532,-157.886794,-155.4491197,-158.4443783,-157.8130579,-155.4491196,-158.3206482,-157.2819729,-155.4470273,-158.3078976,-157.8866522,-158.3094431,-155.4453585,-157.8756508
30,-155.449609,-155.449106,-158.439587,-158.436736,-157.890254,-157.890516,-155.4522204,-158.4475672,-157.8164954,-155.4522203,-158.3238478,-157.2854515,-155.4507733,-158.3116213,-157.8903734,-158.3131484,-155.4491061,-157.8793766
40,-155.452951,-155.452447,-158.442807,-158.439971,-157.893432,-157.893693,-155.4550259,-158.450366,-157.8193395,-155.4550259,-158.3266747,-157.2884662,-155.4541123,-158.3148526,-157.8935502,-158.3163777,-155.4524468,-157.882555
50,-155.455976,-155.455471,-158.445525,-158.442682,-157.895972,-157.896232,-155.4574427,-158.4526169,-157.8214819,-155.4574427,-158.3289559,-157.2909029,-155.4571347,-158.3175782,-157.8960895,-158.3190953,-155.4554705,-157.8850946
60,-155.458503,-155.457996,-158.44763,-158.444779,-157.897794,-157.898054,-155.4592834,-158.4541639,-157.8228924,-155.4592834,-158.3305375,-157.2926752,-155.4596589,-158.3196829,-157.8979118,-158.3212194,-155.4579959,-157.8869171
70,-155.460001,-155.459492,-158.448738,-158.445893,-157.898647,-157.898906,-155.4601812,-158.454788,-157.8233837,-155.4601812,-158.3310854,-157.2935119,-155.4611547,-158.3208055,-157.8987637,-158.3223444,-155.4594923,-157.8877691
80,-155.460201,-155.459691,-158.44871,-158.445865,-157.898412,-157.898671,-155.459977,-158.4544281,-157.822889,-155.459977,-158.3307864,-157.2932809,-155.4613535,-158.3207846,-157.8985294,-158.3223183,-155.4596912,-157.8875354
90,-155.459375,-155.458865,-158.447825,-158.444983,-157.897344,-157.897604,-155.4589279,-158.4533538,-157.8216806,-155.4589279,-158.32968,-157.2922324,-155.4605275,-158.3199026,-157.8974633,-158.3214517,-155.458865,-157.8864706
100,-155.458127,-155.457618,-158.446634,-158.443798,-157.895971,-157.896232,-155.4575726,-158.4520703,-157.8202775,-155.4575726,-158.3283681,-157.2908999,-155.4592811,-158.3187178,-157.8960925,-158.3202591,-155.4576183,-157.8851022
110,-155.457083,-155.456575,-158.445701,-158.44286,-157.894858,-157.895119,-155.4564835,-158.4510914,-157.8192148,-155.4564834,-158.3274441,-157.2898517,-155.4582383,-158.3177805,-157.8949809,-158.3193208,-155.4565753,-157.8839936
120,-155.456686,-155.456178,-158.445396,-158.442531,-157.894415,-157.894677,-155.4560775,-158.4507861,-157.8188591,-155.4560775,-158.32714,-157.2894948,-155.4578405,-158.3174569,-157.8945386,-158.3189863,-155.4561775,-157.8835539
130,-155.457109,-155.4566,-158.445798,-158.442949,-157.894798,-157.89506,-155.4565194,-158.451273,-157.8193261,-155.4565194,-158.3275822,-157.2899823,-155.4582635,-158.3178734,-157.894922,-158.3194019,-155.4566004,-157.8839385
140,-155.458259,-155.45775,-158.446838,-158.443991,-157.8959,-157.896161,-155.4577066,-158.4524052,-157.8204893,-155.4577065,-158.3287101,-157.2912063,-155.4594134,-158.3189316,-157.8960241,-158.3204463,-155.4577499,-157.88504
150,-155.459828,-155.459318,-158.448275,-158.445427,-157.89741,-157.897671,-155.4593208,-158.4539204,-157.8220397,-155.4593208,-158.3302707,-157.2928513,-155.4609822,-158.3203574,-157.897533,-158.3218817,-155.4593184,-157.8865468
160,-155.461394,-155.460883,-158.449691,-158.446842,-157.898911,-157.899172,-155.4609286,-158.4554227,-157.8235719,-155.4609285,-158.3317714,-157.294487,-155.4625468,-158.3217767,-157.8990333,-158.323302,-155.4608833,-157.888045
170,-155.462537,-155.462026,-158.450724,-158.447875,-157.900002,-157.900264,-155.4621018,-158.4565096,-157.8246867,-155.4621018,-158.332888,-157.2956825,-155.4636891,-158.3228136,-157.9001241,-158.3243356,-155.4620259,-157.8891344
180,-155.462955,-155.462444,-158.451105,-158.448257,-157.9004,-157.900662,-155.4625311,-158.4569098,-157.8250944,-155.4625311,-158.3332565,-157.2961209,-155.4641062,-158.3231918,-157.9005205,-158.3247251,-155.4624435,-157.8895315
190,-155.462537,-155.462026,-158.450724,-158.447883,-157.900002,-157.900264,-155.4621041,-158.4565122,-157.8246895,-155.4621041,-158.3328337,-157.2956854,-155.4636879,-158.3228098,-157.9001204,-158.3243457,-155.4620259,-157.8891344
200,-155.461394,-155.460883,-158.449691,-158.446848,-157.898911,-157.899172,-155.4609327,-158.4554272,-157.8235767,-155.4609327,-158.3317709,-157.2944919,-155.4625442,-158.3217693,-157.8990263,-158.3233063,-155.4608833,-157.8880449
210,-155.459828,-155.459318,-158.448275,-158.445428,-157.89741,-157.897671,-155.4593257,-158.4539258,-157.8220453,-155.4593257,-158.3302588,-157.2928571,-155.4609782,-158.3203476,-157.8975235,-158.3218827,-155.4593184,-157.8865468
220,-155.458259,-155.45775,-158.446838,-158.44401,-157.8959,-157.896161,-155.4577108,-158.4524101,-157.8204943,-155.4577108,-158.3287443,-157.2912116,-155.4594089,-158.3189207,-157.8960137,-158.3204641,-155.4577499,-157.8850399
230,-155.457109,-155.4566,-158.445798,-158.442946,-157.894798,-157.89506,-155.4565219,-158.4512761,-157.8193293,-155.4565219,-158.3276312,-157.2899855,-155.4582593,-158.3178629,-157.8949122,-158.3193984,-155.4566004,-157.8839384
240,-155.456686,-155.456178,-158.445396,-158.442525,-157.894415,-157.894677,-155.4560775,-158.4507866,-157.8188596,-155.4560775,-158.3271415,-157.289495,-155.4578369,-158.3174482,-157.8945306,-158.3189782,-155.4561775,-157.8835538
250,-155.457083,-155.456575,-158.445701,-158.442872,-157.894858,-157.895119,-155.456481,-158.4510892,-157.8192126,-155.456481,-158.3274018,-157.289849,-155.4582355,-158.3177742,-157.8949751,-158.3193301,-155.4565753,-157.8839934
260,-155.458127,-155.457618,-158.446634,-158.443791,-157.895971,-157.896232,-155.4575684,-158.4520663,-157.8202733,-155.4575684,-158.328355,-157.2908951,-155.4592795,-158.3187141,-157.896089,-158.320254,-155.4576184,-157.885102
270,-155.459375,-155.458865,-158.447825,-158.444976,-157.897344,-157.897604,-155.4589234,-158.4533494,-157.821676,-155.4589233,-158.3297271,-157.2922273,-155.460527,-158.3199012,-157.8974619,-158.3214371,-155.458865,-157.8864705
280,-155.460201,-155.459691,-158.44871,-158.445865,-157.898412,-157.898671,-155.4599741,-158.4544252,-157.8228861,-155.4599742,-158.3307609,-157.2932778,-155.4613538,-158.3207847,-157.8985296,-158.3223207,-155.4596913,-157.8875353
290,-155.460001,-155.459492,-158.448738,-158.445899,-157.898647,-157.898906,-155.4601827,-158.454789,-157.8233852,-155.4601826,-158.331159,-157.2935137,-155.4611552,-158.3208063,-157.8987646,-158.3223528,-155.4594923,-157.887769
300,-155.458503,-155.457996,-158.44763,-158.444783,-157.897794,-157.898054,-155.4592917,-158.4541707,-157.8229005,-155.4592917,-158.3305031,-157.2926843,-155.4596596,-158.3196843,-157.8979134,-158.3212213,-155.4579959,-157.886917
310,-155.455976,-155.455471,-158.445525,-158.442682,-157.895972,-157.896232,-155.4574581,-158.4526298,-157.8214966,-155.4574581,-158.3289272,-157.2909193,-155.4571355,-158.3175803,-157.8960919,-158.3191035,-155.4554705,-157.8850945
320,-155.452951,-155.452447,-158.442807,-158.439959,-157.893432,-157.893693,-155.4550449,-158.4503817,-157.8193568,-155.4550449,-158.326716,-157.2884856,-155.4541136,-158.3148557,-157.8935538,-158.3163658,-155.4524468,-157.8825549
330,-155.449609,-155.449106,-158.439587,-158.436747,-157.890254,-157.890516,-155.4522365,-158.4475801,-157.816509,-155.4522365,-158.3238839,-157.2854672,-155.4507751,-158.3116252,-157.890378,-158.3131542,-155.4491061,-157.8793765
340,-155.445859,-155.445359,-158.435874,-158.433024,-157.886533,-157.886794,-155.4491286,-158.4443851,-157.8130641,-155.4491285,-158.3207075,-157.2819809,-155.447029,-158.3079016,-157.8866571,-158.3094384,-155.4453586,-157.8756508
350,-155.442378,-155.441883,-158.432433,-158.429607,-157.883125,-157.883384,-155.4463697,-158.4415564,-157.809884,-155.4463697,-158.3179129,-157.2788453,-155.4435541,-158.3044691,-157.883248,-158.3060247,-155.4418831,-157.8722363
360,-155.440879,-155.440387,-158.430965,-158.428155,-157.881683,-157.881941,-155.4452166,-158.4403798,-157.8085355,-155.4452166,-158.3167301,-157.2775328,-155.4420576,-158.3030033,-157.8818035,-158.3045728,-155.4403869,-157.8707905
